,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Rafael Septien 37 yard field goal,3,0
1,2.0,Cowboys,Robert Newhouse 4 yard rush (Rafael Septien kick),10,0
2,2.0,Cardinals,Al Chandler 2 yard pass from Jim Hart (Mike Wood kick),10,7
3,3.0,Cowboys,Rafael Septien 24 yard field goal,13,7
4,3.0,Cardinals,Pat Tilley 18 yard pass from Jim Hart (Mike Wood kick),13,14
5,4.0,Cowboys,Tony Hill 30 yard pass from Ron Springs,19,14
6,4.0,Cardinals,Ottis Anderson 76 yard rush (Mike Wood kick),19,21
7,4.0,Cowboys,Rafael Septien 27 yard field goal,22,21
