,Quarter,Tm,Detail,SFO,NYG
0,1.0,49ers,Jeff Brockhaus 39 yard field goal,3,0
1,2.0,Giants,Lewis Bennett 46 yard pass from Jim Crocicchia (George Benyola kick),3,7
2,2.0,49ers,Del Rodgers 2 yard rush (Jeff Brockhaus kick),10,7
3,2.0,49ers,Mike Wells 1 yard blocked punt return (Jeff Brockhaus kick),17,7
4,3.0,49ers,Carl Monroe 39 yard pass from Mark Stevens (Jeff Brockhaus kick),24,7
5,3.0,49ers,Jeff Brockhaus 22 yard field goal,27,7
6,4.0,49ers,Mark Stevens 9 yard rush (Jeff Brockhaus kick),34,7
7,4.0,Giants,Reggie McGowan 63 yard pass from Mike Busch (George Benyola kick),34,14
8,4.0,49ers,Tony Cherry 13 yard rush (Jeff Brockhaus kick),41,14
9,4.0,Giants,Edwin Lovelady 7 yard pass from Mike Busch (George Benyola kick),41,21
