,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,13:04,Cowboys,Dan Bailey 30 yard field goal,0,3
1,1.0,2:02,Giants,Josh Brown 20 yard field goal,3,3
2,2.0,10:02,Cowboys,Dan Bailey 38 yard field goal,3,6
3,2.0,2:55,Cowboys,Jason Witten 15 yard pass from Tony Romo (Dan Bailey kick),3,13
4,2.0,1:50,Giants,Victor Cruz 70 yard pass from Eli Manning (Josh Brown kick),10,13
5,3.0,12:31,Cowboys,Barry Church 27 yard defensive fumble return (Dan Bailey kick),10,20
6,3.0,4:55,Cowboys,Jason Witten 4 yard pass from Tony Romo (Dan Bailey kick),10,27
7,3.0,1:44,Giants,Victor Cruz 18 yard pass from Eli Manning (Josh Brown kick),17,27
8,4.0,12:10,Cowboys,Dan Bailey 45 yard field goal,17,30
9,4.0,8:47,Giants,Victor Cruz 10 yard pass from Eli Manning (Josh Brown kick),24,30
10,4.0,1:50,Cowboys,Brandon Carr 49 yard interception return (pass failed),24,36
11,4.0,0:11,Giants,Brandon Myers 4 yard pass from Eli Manning (Josh Brown kick),31,36
