,Quarter,Time,Tm,Detail,DET,NYG
0,2.0,14:12,Lions,Walter Rasby 5 yard pass from Charlie Batch (Jason Hanson kick),7,0
1,2.0,9:22,Lions,James Stewart 1 yard rush (Jason Hanson kick),14,0
2,2.0,0:25,Lions,Herman Moore 7 yard pass from Charlie Batch (Jason Hanson kick),21,0
3,3.0,11:34,Lions,Johnnie Morton 32 yard pass from Charlie Batch (Jason Hanson kick),28,0
4,3.0,7:14,Giants,Kerry Collins 4 yard rush (Brad Daluiso kick),28,7
5,3.0,0:22,Giants,Dan Campbell 2 yard pass from Kerry Collins (Brad Daluiso kick),28,14
6,4.0,7:38,Lions,Jason Hanson 19 yard field goal,31,14
7,4.0,1:47,Giants,Joe Jurevicius 13 yard pass from Kerry Collins (Brad Daluiso kick),31,21
