,Quarter,Tm,Detail,PHI,PHO
0,1.0,Eagles,Randall Cunningham 15 yard rush (Luis Zendejas kick),7,0
1,1.0,Eagles,Keith Byars 4 yard rush (Luis Zendejas kick),14,0
2,1.0,Eagles,Cris Carter 37 yard pass from Randall Cunningham (Luis Zendejas kick),21,0
3,2.0,Cardinals,Ernie Jones 93 yard pass from Neil Lomax (Al Del Greco kick),21,7
4,3.0,Cardinals,E.J. Junior 36 yard defensive fumble return (Al Del Greco kick),21,14
5,4.0,Cardinals,Al Del Greco 40 yard field goal,21,17
6,4.0,Eagles,"Safety, Jenkins blocked punt out of end zone",23,17
