,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Jim Brown 7 yard rush,0,6
1,1.0,Browns,Lou Groza 28 yard field goal,0,9
2,2.0,Browns,Rich Kreitling 16 yard pass from Milt Plum,0,15
3,3.0,Browns,Lou Groza 27 yard field goal,0,18
4,4.0,Browns,Rich Kreitling 8 yard pass from Milt Plum (Lou Groza kick),0,25
5,4.0,Cowboys,Don Perkins 7 yard pass from Don Meredith (Allen Green kick),7,25
