,Quarter,Time,Tm,Detail,GNB,DET
0,2.0,10:47,Packers,Aaron Ripkowski 7 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,2.0,5:00,Lions,Zach Zenner 1 yard rush (Matt Prater kick),7,7
2,2.0,0:23,Lions,Golden Tate 3 yard pass from Matthew Stafford (Matt Prater kick),7,14
3,2.0,0:00,Packers,Mason Crosby 53 yard field goal,10,14
4,3.0,9:23,Packers,Davante Adams 3 yard pass from Aaron Rodgers (Mason Crosby kick),17,14
5,4.0,10:02,Packers,Geronimo Allison 10 yard pass from Aaron Rodgers (Mason Crosby kick failed),23,14
6,4.0,7:42,Lions,Matt Prater 54 yard field goal,23,17
7,4.0,2:50,Packers,Davante Adams 9 yard pass from Aaron Rodgers (Davante Adams pass from Aaron Rodgers ),31,17
8,4.0,0:13,Lions,Anquan Boldin 35 yard pass from Matthew Stafford (Matt Prater kick),31,24
