,Quarter,Tm,Detail,NOR,NYG
0,1.0,Giants,Charlie Evans 10 yard pass from Norm Snead (Pete Gogolak kick),0,7
1,1.0,Giants,Pete Gogolak 17 yard field goal,0,10
2,1.0,Giants,Charlie Evans 24 yard rush (Pete Gogolak kick),0,17
3,2.0,Giants,Ron Johnson 3 yard rush (Pete Gogolak kick),0,24
4,2.0,Giants,Charlie Evans 8 yard rush (Pete Gogolak kick),0,31
5,2.0,Saints,Dave Parks 66 yard pass from Archie Manning (Charlie Durkee kick),7,31
6,3.0,Giants,Don Herrmann 14 yard pass from Norm Snead (Pete Gogolak kick),7,38
7,3.0,Giants,Bob Grim 15 yard pass from Norm Snead (Pete Gogolak kick),7,45
8,4.0,Saints,Danny Abramowicz 16 yard pass from Archie Manning (Charlie Durkee kick),14,45
9,4.0,Saints,Dave Parks 25 yard pass from Archie Manning (Charlie Durkee kick),21,45
