,Quarter,Time,Tm,Detail,CIN,STL
0,1.0,,Bengals,Doug Pelfrey 27 yard field goal,3,0
1,1.0,,Rams,Lawrence Phillips 1 yard rush (Chip Lohmiller kick),3,7
2,2.0,,Bengals,Doug Pelfrey 35 yard field goal,6,7
3,2.0,,Bengals,Doug Pelfrey 47 yard field goal,9,7
4,3.0,,Bengals,Darnay Scott 6 yard pass from Jeff Blake (Doug Pelfrey kick),16,7
5,3.0,,Rams,Chip Lohmiller 42 yard field goal,16,10
6,4.0,,Rams,Chip Lohmiller 20 yard field goal,16,13
7,4.0,,Rams,Chip Lohmiller 29 yard field goal,16,16
8,4.0,,Rams,Lawrence Phillips 1 yard rush (Chip Lohmiller kick),16,23
9,4.0,,Rams,Chip Lohmiller 20 yard field goal,16,26
