,Quarter,Time,Tm,Detail,GNB,KAN
0,1.0,8:49,Packers,Aaron Jones 4 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
1,1.0,2:14,Packers,Jamaal Williams 1 yard rush (Mason Crosby kick),14,0
2,2.0,11:04,Chiefs,Travis Kelce 29 yard pass from Matt Moore (Harrison Butker kick),14,7
3,2.0,6:21,Chiefs,Mecole Hardman 30 yard pass from Matt Moore (Harrison Butker kick),14,14
4,2.0,1:00,Chiefs,Harrison Butker 28 yard field goal,14,17
5,3.0,1:35,Packers,Mason Crosby 35 yard field goal,17,17
6,4.0,14:05,Packers,Jamaal Williams 3 yard pass from Aaron Rodgers (Mason Crosby kick),24,17
7,4.0,9:03,Chiefs,Damien Williams 3 yard rush (Harrison Butker kick),24,24
8,4.0,8:14,Packers,Aaron Jones 67 yard pass from Aaron Rodgers (Mason Crosby kick),31,24
