,Quarter,Tm,Detail,WAS,SFO
0,1.0,49ers,Monty Stickles 25 yard pass from John Brodie (Tommy Davis kick),0,7
1,1.0,Redskins,John Aveni 29 yard field goal,3,7
2,2.0,49ers,Monty Stickles 4 yard pass from John Brodie (Tommy Davis kick),3,14
3,2.0,49ers,J.D. Smith 34 yard pass from John Brodie (Tommy Davis kick),3,21
4,3.0,49ers,Clyde Conner 10 yard pass from John Brodie (Tommy Davis kick),3,28
5,3.0,49ers,J.D. Smith 3 yard rush (Tommy Davis kick),3,35
