,Quarter,Time,Tm,Detail,STL,ARI
0,1.0,8:46,Cardinals,Tim Hightower 1 yard rush (Neil Rackers kick),0,7
1,1.0,4:13,Cardinals,Larry Fitzgerald 12 yard pass from Kurt Warner (Neil Rackers kick),0,14
2,2.0,14:14,Rams,Steven Jackson 3 yard pass from Marc Bulger (Josh Brown kick),7,14
3,2.0,7:00,Cardinals,Neil Rackers 44 yard field goal,7,17
4,2.0,0:59,Cardinals,Neil Rackers 22 yard field goal,7,20
5,3.0,4:20,Cardinals,Darnell Dockett 11 yard defensive fumble return (Neil Rackers kick),7,27
6,4.0,10:21,Rams,Josh Brown 51 yard field goal,10,27
7,4.0,3:11,Cardinals,Dominique Rodgers-Cromartie 99 yard interception return (Neil Rackers kick),10,34
