,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Tiny Engebretsen 40 yard field goal,0,3
1,2.0,Packers,Milt Gantenbein 22 yard pass from Arnie Herber (Ernie Smith kick),0,10
2,3.0,Lions,Ernie Caddel 28 yard rush (Dutch Clark kick),7,10
3,3.0,Lions,"Safety, Johnson tackled Herber in end zone",9,10
4,4.0,Lions,Ernie Caddel 14 yard pass from Dutch Clark,15,10
5,4.0,Packers,Johnny Blood 46 yard pass from Arnie Herber (Ernie Smith kick),15,17
6,4.0,Lions,Dutch Clark 28 yard field goal,18,17
7,4.0,Packers,Tiny Engebretsen 18 yard field goal,18,20
