,Quarter,Tm,Detail,DET,PHI
0,2.0,Lions,Dutch Clark 33 yard rush (Dutch Clark kick),7,0
1,2.0,Lions,Regis Monahan blocked punt recovery in end zone (Bill Shepherd kick),14,0
2,4.0,Lions,Harry Ebding 20 yard pass from Glenn Presnell,20,0
3,4.0,Lions,Glenn Presnell 31 yard field goal,23,0
