,Quarter,Tm,Detail,NOR,STL
0,1.0,Cardinals,MacArthur Lane 74 yard rush (Jim Bakken kick),0,7
1,2.0,Saints,Tony Baker 3 yard rush (Tom Dempsey kick),7,7
2,3.0,Saints,Tom Dempsey 34 yard field goal,10,7
3,3.0,Cardinals,Jim Bakken 44 yard field goal,10,10
4,4.0,Cardinals,Roy Shivers 5 yard rush (Jim Bakken kick),10,17
5,4.0,Saints,Dave Parks 18 yard pass from Edd Hargett (Tom Dempsey kick),17,17
6,4.0,Cardinals,Jackie Smith 49 yard pass from Jim Hart (Jim Bakken kick),17,24
