,Quarter,Tm,Detail,DEN,CLE
0,2.0,Broncos,Glyn Milburn 2 yard pass from John Elway (Jason Elam kick),7,0
1,2.0,Broncos,"Safety, Rivers blocked punt out of end zone",9,0
2,2.0,Broncos,Derek Russell 38 yard pass from John Elway (Jason Elam kick),16,0
3,3.0,Browns,Michael Jackson 8 yard pass from Bernie Kosar (Matt Stover kick),16,7
4,3.0,Broncos,Shannon Sharpe 33 yard pass from John Elway (Jason Elam kick),23,7
5,4.0,Broncos,Jason Elam 22 yard field goal,26,7
6,4.0,Broncos,Jason Elam 38 yard field goal,29,7
7,4.0,Browns,Michael Jackson 38 yard pass from Bernie Kosar (Matt Stover kick),29,14
