,Quarter,Time,Tm,Detail,PIT,CIN
0,1.0,12:06,Steelers,Hines Ward 34 yard pass from Kordell Stewart (Kris Brown kick),7,0
1,1.0,10:04,Bengals,Brandon Bennett 37 yard rush (Neil Rackers kick),7,7
2,1.0,3:43,Steelers,Kordell Stewart 1 yard rush (Kris Brown kick),14,7
3,2.0,13:56,Bengals,Corey Dillon 20 yard rush (Neil Rackers kick),14,14
4,2.0,9:00,Steelers,Mark Bruener 11 yard pass from Kordell Stewart (Kris Brown kick),21,14
5,2.0,0:16,Steelers,Kris Brown 44 yard field goal,24,14
6,3.0,9:46,Bengals,Corey Dillon 4 yard rush (Neil Rackers kick),24,21
7,3.0,6:16,Steelers,Bobby Shaw 45 yard pass from Kordell Stewart (Kris Brown kick),31,21
8,3.0,1:31,Steelers,Jerome Bettis 7 yard rush (Kris Brown kick),38,21
9,3.0,0:00,Steelers,Jason Gildon 22 yard defensive fumble return (Kris Brown kick),45,21
10,4.0,2:50,Bengals,Peter Warrick 5 yard pass from Akili Smith (Neil Rackers kick),45,28
11,4.0,1:49,Steelers,Kris Brown 28 yard field goal,48,28
