,Quarter,Tm,Detail,AKR,DET
0,1.0,Panthers,Gus Sonnenberg 16 yard field goal,0,3
1,1.0,Panthers,Al Hadden 36 yard pass from Eddie Scharer,0,9
2,2.0,Panthers,Bruce Gregory unknown yard pass from Eddie Scharer,0,15
3,4.0,Panthers,Gus Sonnenberg unknown yard field goal,0,18
4,4.0,Panthers,Jimmy Conzelman 16 yard pass from Eddie Scharer (Gus Sonnenberg kick),0,25
