,Quarter,Tm,Detail,PHI,STL
0,1.0,Cardinals,Earl Ferrell 8 yard rush,0,6
1,2.0,Eagles,Cris Carter 22 yard pass from Randall Cunningham (Paul McFadden kick),7,6
2,3.0,Eagles,Keith Byars 2 yard rush (Paul McFadden kick),14,6
3,3.0,Eagles,Kenny Jackson 70 yard pass from Randall Cunningham (Paul McFadden kick),21,6
4,3.0,Cardinals,J.T. Smith 14 yard pass from Neil Lomax (Jim Gallery kick),21,13
5,4.0,Cardinals,Jim Gallery 43 yard field goal,21,16
6,4.0,Cardinals,Robert Awalt 8 yard pass from Neil Lomax (Jim Gallery kick),21,23
7,4.0,Eagles,Gregg Garrity 9 yard pass from Randall Cunningham (Paul McFadden kick),28,23
