,Quarter,Time,Tm,Detail,MIN,IND
0,1.0,9:09,Colts,Reggie Wayne 5 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,2.0,14:54,Colts,Marcus Pollard 10 yard pass from Peyton Manning (Mike Vanderjagt kick),0,14
2,2.0,12:43,Vikings,Morten Andersen 42 yard field goal,3,14
3,2.0,0:00,Vikings,Morten Andersen 23 yard field goal,6,14
4,3.0,10:49,Vikings,Nate Burleson 91 yard punt return (Daunte Culpepper run),14,14
5,3.0,2:07,Colts,Dallas Clark 4 yard pass from Peyton Manning (Mike Vanderjagt kick),14,21
6,4.0,11:27,Vikings,Nate Burleson 8 yard pass from Daunte Culpepper (Morten Andersen kick),21,21
7,4.0,7:24,Colts,Marcus Pollard 19 yard pass from Peyton Manning (Mike Vanderjagt kick),21,28
8,4.0,2:54,Vikings,Onterrio Smith 24 yard rush (Morten Andersen kick),28,28
9,4.0,0:02,Colts,Mike Vanderjagt 35 yard field goal,28,31
