,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,11:33,Broncos,Brandon McManus 42 yard field goal,0,3
1,1.0,6:03,Chiefs,Harrison Butker 33 yard field goal,3,3
2,2.0,9:33,Chiefs,Patrick Mahomes 8 yard rush (Harrison Butker kick),10,3
3,2.0,6:37,Broncos,Royce Freeman 14 yard rush (Brandon McManus kick),10,10
4,2.0,0:00,Broncos,Brandon McManus 34 yard field goal,10,13
5,3.0,9:32,Chiefs,Harrison Butker 21 yard field goal,13,13
6,3.0,2:05,Broncos,Phillip Lindsay 1 yard rush (Brandon McManus kick),13,20
7,4.0,12:47,Broncos,Brandon McManus 46 yard field goal,13,23
8,4.0,6:27,Chiefs,Travis Kelce 2 yard pass from Patrick Mahomes (Harrison Butker kick),20,23
9,4.0,1:39,Chiefs,Kareem Hunt 4 yard rush (Harrison Butker kick),27,23
