,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,,Packers,Ryan Longwell 36 yard field goal,3,0
1,1.0,,Packers,Ryan Longwell 19 yard field goal,6,0
2,2.0,,Lions,Reggie Brown 45 yard interception return (Jason Hanson kick),6,7
3,2.0,,Lions,Pete Chryplewicz 4 yard pass from Scott Mitchell (Jason Hanson kick),6,14
4,2.0,,Packers,Ryan Longwell 50 yard field goal,9,14
5,2.0,,Lions,Jason Hanson 53 yard field goal,9,17
6,3.0,,Packers,Bill Schroeder 7 yard pass from Brett Favre (pass failed),15,17
7,3.0,,Lions,Jason Hanson 44 yard field goal,15,20
8,4.0,,Lions,Jason Hanson 22 yard field goal,15,23
9,4.0,,Lions,Jason Hanson 39 yard field goal,15,26
