,Quarter,Time,Tm,Detail,ARI,NYG
0,1,,Cardinals,Greg Davis 23 yard field goal,3,0
1,1,,Giants,Mike Sherrard 6 yard pass from Dave Brown (Brad Daluiso kick),3,7
2,2,,Cardinals,Frank Sanders 11 yard pass from Dave Krieg (Greg Davis kick),10,7
3,3,,Cardinals,Greg Davis 36 yard field goal,13,7
4,3,,Giants,Charles Way 2 yard pass from Dave Brown (Brad Daluiso kick),13,14
5,3,,Cardinals,Frank Sanders 6 yard pass from Dave Krieg (Frank Sanders pass from Dave Krieg),21,14
6,4,,Giants,Dave Brown 2 yard rush (Brad Daluiso kick),21,21
7,OT,,Giants,Jessie Armstead 58 yard interception return,21,27
