,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,,Bears,Keith Jennings 5 yard pass from Erik Kramer (Kevin Butler kick),0,7
1,1.0,,Lions,Barry Sanders 2 yard rush (Jason Hanson kick),7,7
2,2.0,,Lions,Jason Hanson 25 yard field goal,10,7
3,3.0,,Bears,Kevin Butler 39 yard field goal,10,10
4,3.0,,Lions,Barry Sanders 29 yard rush (Jason Hanson kick),17,10
5,4.0,,Bears,Erik Kramer 1 yard rush (Kevin Butler kick),17,17
6,4.0,,Lions,Herman Moore 11 yard pass from Don Majkowski (Jason Hanson kick),24,17
