,Quarter,Tm,Detail,KAN,GNB
0,1.0,Packers,Max McGee 37 yard pass from Bart Starr (Don Chandler kick),0,7
1,2.0,Chiefs,Curtis McClinton 7 yard pass from Len Dawson (Mike Mercer kick),7,7
2,2.0,Packers,Jim Taylor 14 yard rush (Don Chandler kick),7,14
3,2.0,Chiefs,Mike Mercer 31 yard field goal,10,14
4,3.0,Packers,Elijah Pitts 5 yard rush (Don Chandler kick),10,21
5,3.0,Packers,Max McGee 13 yard pass from Bart Starr (Don Chandler kick),10,28
6,4.0,Packers,Elijah Pitts 1 yard rush (Don Chandler kick),10,35
