,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,10:42,Jets,C.J. Mosley 17 yard interception return (Kaare Vedvik kick failed),0,6
1,3.0,12:01,Jets,"Safety, Frank Gore tackled in end zone by Brian Poole and Jordan Jenkins",0,8
2,3.0,7:06,Jets,Le'Veon Bell 9 yard pass from Sam Darnold (Le'Veon Bell pass from Sam Darnold ),0,16
3,3.0,3:52,Bills,Stephen Hauschka 43 yard field goal,3,16
4,4.0,10:27,Bills,Josh Allen 3 yard rush (Stephen Hauschka kick),10,16
5,4.0,3:07,Bills,John Brown 38 yard pass from Josh Allen (Stephen Hauschka kick),17,16
