,Quarter,Tm,Detail,TAM,CHI
0,1.0,Buccaneers,Michael Husted 20 yard field goal,3,0
1,2.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),3,7
2,2.0,Bears,Jim Harbaugh 1 yard rush (Kevin Butler kick),3,14
3,2.0,Bears,Ryan Wetnight 25 yard pass from Jim Harbaugh (Kevin Butler kick),3,21
4,2.0,Bears,Tom Waddle 17 yard pass from Jim Harbaugh (Kevin Butler kick),3,28
5,2.0,Buccaneers,Lamar Thomas 62 yard pass from Craig Erickson (Michael Husted kick),10,28
6,3.0,Bears,Kevin Butler 33 yard field goal,10,31
7,4.0,Bears,Kevin Butler 40 yard field goal,10,34
8,4.0,Bears,Myron Baker 8 yard defensive fumble return (Kevin Butler kick),10,41
9,4.0,Bears,Kevin Butler 32 yard field goal,10,44
10,4.0,Buccaneers,Anthony McDowell 3 yard pass from Steve DeBerg (Michael Husted kick),17,44
11,4.0,Bears,Kevin Butler 31 yard field goal,17,47
