,Quarter,Time,Tm,Detail,BUF,NOR
0,1.0,9:40,Bills,Willis McGahee 1 yard rush (Rian Lindell kick),7,0
1,2.0,9:05,Saints,John Carney 23 yard field goal,7,3
2,2.0,5:38,Saints,Aaron Brooks 4 yard rush (John Carney kick),7,10
3,2.0,0:10,Saints,John Carney 40 yard field goal,7,13
4,4.0,4:59,Saints,John Carney 20 yard field goal,7,16
5,4.0,1:09,Saints,John Carney 37 yard field goal,7,19
