,Quarter,Time,Tm,Detail,JAX,CLE
0,2.0,11:44,Jaguars,Jimmy Smith 2 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,2.0,3:27,Browns,JaJuan Dawson 13 yard pass from Tim Couch (Phil Dawson kick),7,7
2,2.0,0:30,Jaguars,Mike Hollis 50 yard field goal,10,7
3,3.0,7:39,Jaguars,Stacey Mack 3 yard rush (Mike Hollis kick),17,7
4,3.0,1:20,Jaguars,Mike Hollis 25 yard field goal,20,7
5,4.0,4:28,Jaguars,Chris Howard 9 yard rush (Mike Hollis kick),27,7
