,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,Johnny Morris 2 yard pass from Billy Wade (Bob Jencks kick),0,7
1,2.0,Bears,Bob Jencks 14 yard field goal,0,10
2,2.0,Bears,Mike Ditka offensive fumble recovery in end zone (Bob Jencks kick),0,17
3,2.0,Rams,Bruce Gossett 40 yard field goal,3,17
4,2.0,Bears,Mike Ditka 2 yard pass from Billy Wade (Bob Jencks kick),3,24
5,3.0,Bears,Mike Ditka 16 yard pass from Billy Wade (Bob Jencks kick),3,31
6,3.0,Rams,Bucky Pope 70 yard pass from Roman Gabriel (Bruce Gossett kick),10,31
7,3.0,Bears,Johnny Morris 52 yard pass from Billy Wade (Bob Jencks kick),10,38
8,4.0,Rams,Roman Gabriel 2 yard rush (Bruce Gossett kick),17,38
