,Quarter,Time,Tm,Detail,DET,CHI
0,2,13:42,Bears,Marcus Robinson 3 yard pass from Chris Chandler (Paul Edinger kick),0,7
1,2,5:46,Lions,Jason Hanson 22 yard field goal,3,7
2,3,5:09,Lions,Germane Crowell 1 yard pass from Joey Harrington (Jason Hanson kick),10,7
3,3,2:38,Lions,James Stewart 23 yard rush (Jason Hanson kick),17,7
4,4,2:33,Bears,Dez White 23 yard pass from Jim Miller (Paul Edinger kick),17,14
5,4,0:00,Bears,Paul Edinger 22 yard field goal,17,17
6,OT,8:58,Bears,Paul Edinger 40 yard field goal,17,20
