,Quarter,Time,Tm,Detail,CAR,SDG
0,1.0,,Chargers,Erric Pegram 6 yard rush (John Carney kick),0,7
1,1.0,,Panthers,Wesley Walls 8 yard pass from Kerry Collins (John Kasay kick),7,7
2,1.0,,Panthers,John Kasay 25 yard field goal,10,7
3,2.0,,Panthers,John Kasay 36 yard field goal,13,7
4,3.0,,Panthers,John Kasay 34 yard field goal,16,7
5,4.0,,Panthers,John Kasay 28 yard field goal,19,7
6,4.0,,Panthers,Wesley Walls 1 yard pass from Kerry Collins (John Kasay kick),26,7
