,Quarter,Tm,Detail,BUF,KAN
0,1.0,Bills,Kenneth Davis 9 yard rush (Steve Christie kick),7,0
1,1.0,Chiefs,Marcus Allen 18 yard pass from Joe Montana (Nick Lowery kick),7,7
2,2.0,Chiefs,Nick Lowery 30 yard field goal,7,10
3,3.0,Chiefs,Keith Cash 1 yard pass from Joe Montana (Nick Lowery kick),7,17
4,3.0,Chiefs,Nick Lowery 22 yard field goal,7,20
5,4.0,Chiefs,Nick Lowery 34 yard field goal,7,23
