,Quarter,Tm,Detail,DUL,KAN
0,1.0,Cowboys,Al Bloodgood 15 yard field goal,0,3
1,2.0,Cowboys,Al Bloodgood 20 yard field goal,0,6
2,3.0,Cowboys,Al Bloodgood unknown yard field goal,0,9
3,3.0,Eskimos,Ernie Nevers 2 yard rush (Ernie Nevers kick),7,9
4,4.0,Cowboys,Al Bloodgood 30 yard field goal,7,12
