,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,Cliff Branch 60 yard pass from Ken Stabler (George Blanda kick),0,7
1,2.0,Chargers,Ray Wersching 42 yard field goal,3,7
2,3.0,Raiders,Pete Banaszak 1 yard rush (George Blanda kick),3,14
3,4.0,Raiders,George Blanda 28 yard field goal,3,17
4,4.0,Chargers,Don Woods 1 yard rush (Dennis Partee kick),10,17
