,Quarter,Tm,Detail,CLE,CIN
0,1.0,Browns,Kevin Mack 1 yard rush (Mark Moseley kick),7,0
1,1.0,Bengals,Jim Breech 23 yard field goal,7,3
2,1.0,Browns,Webster Slaughter 47 yard pass from Bernie Kosar (Mark Moseley kick),14,3
3,2.0,Browns,Mark Moseley 39 yard field goal,17,3
4,3.0,Browns,Kevin Mack 1 yard rush (Mark Moseley kick),24,3
5,3.0,Browns,Webster Slaughter offensive fumble recovery in end zone (Mark Moseley kick),31,3
6,4.0,Browns,Mark Moseley 19 yard field goal,34,3
