,Quarter,Time,Tm,Detail,BUF,BAL
0,1.0,5:00,Ravens,Justin Armour 7 yard pass from Tony Banks (Matt Stover kick),0,7
1,1.0,0:06,Ravens,Matt Stover 37 yard field goal,0,10
2,2.0,0:37,Bills,Steve Christie 25 yard field goal,3,10
3,4.0,6:21,Bills,Steve Christie 40 yard field goal,6,10
4,4.0,1:35,Bills,Jonathan Linton 5 yard pass from Doug Flutie (Steve Christie kick),13,10
