,Quarter,Time,Tm,Detail,GNB,ATL
0,1.0,9:31,Falcons,Matt Bryant 38 yard field goal,0,3
1,1.0,0:04,Packers,Mason Crosby 22 yard field goal,3,3
2,2.0,0:08,Falcons,Tony Gonzalez 4 yard pass from Matt Ryan (Matt Bryant kick),3,10
3,3.0,7:17,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),10,10
4,4.0,14:24,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),10,17
5,4.0,0:56,Packers,Jordy Nelson 10 yard pass from Aaron Rodgers (Mason Crosby kick),17,17
6,4.0,0:09,Falcons,Matt Bryant 47 yard field goal,17,20
