,Quarter,Tm,Detail,CLE,GNB
0,1.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),7,0
1,2.0,Browns,Lou Groza 15 yard field goal,10,0
2,2.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),17,0
3,3.0,Browns,Lou Groza 29 yard field goal,20,0
4,3.0,Browns,Ken Carpenter 5 yard rush (Lou Groza kick),27,0
