,Quarter,Time,Tm,Detail,ATL,PIT
0,1,7:51,Steelers,Jeff Reed 52 yard field goal,0,3
1,2,0:00,Falcons,Matt Bryant 49 yard field goal,3,3
2,3,10:40,Falcons,Matt Bryant 39 yard field goal,6,3
3,3,6:53,Steelers,Jeff Reed 36 yard field goal,6,6
4,4,8:54,Steelers,Jeff Reed 34 yard field goal,6,9
5,4,3:24,Falcons,Matt Bryant 23 yard field goal,9,9
6,OT,12:25,Steelers,Rashard Mendenhall 50 yard rush,9,15
