,Quarter,Tm,Detail,MIN,DEN
0,1.0,Broncos,Derek Russell 4 yard pass from John Elway,0,6
1,1.0,Vikings,Fuad Reveiz 25 yard field goal,3,6
2,2.0,Broncos,Robert Delpino 3 yard rush (Jason Elam kick),3,13
3,2.0,Broncos,Vance Johnson 15 yard pass from John Elway (Jason Elam kick),3,20
4,2.0,Vikings,Cris Carter 9 yard pass from Sean Salisbury (Fuad Reveiz kick),10,20
5,2.0,Vikings,Roger Craig 17 yard pass from Sean Salisbury (Fuad Reveiz kick),17,20
6,3.0,Vikings,Fuad Reveiz 19 yard field goal,20,20
7,4.0,Vikings,Fuad Reveiz 35 yard field goal,23,20
8,4.0,Broncos,Jason Elam 53 yard field goal,23,23
9,4.0,Vikings,Fuad Reveiz 43 yard field goal,26,23
