,Quarter,Tm,Detail,NOR,STL
0,1.0,Cardinals,Mel Gray 38 yard pass from Jim Hart (Jim Bakken kick),0,7
1,1.0,Cardinals,Wayne Morris 2 yard rush (Jim Bakken kick),0,14
2,2.0,Cardinals,Wayne Morris 9 yard rush (Jim Bakken kick),0,21
3,2.0,Saints,Chuck Muncie 19 yard rush (Rich Szaro kick),7,21
4,2.0,Saints,Jim Thaxton 25 yard pass from Bobby Scott (Rich Szaro kick),14,21
5,2.0,Saints,Henry Childs 53 yard pass from Bobby Scott (Rich Szaro kick),21,21
6,3.0,Cardinals,Wayne Morris 1 yard rush (Jim Bakken kick),21,28
7,3.0,Saints,Rich Szaro 22 yard field goal,24,28
8,4.0,Cardinals,Mel Gray 11 yard pass from Terry Metcalf (Jim Bakken kick),24,35
9,4.0,Saints,Henry Childs 29 yard pass from Bobby Scott (Rich Szaro kick),31,35
10,4.0,Cardinals,Steve Jones 1 yard rush (Jim Bakken kick),31,42
11,4.0,Cardinals,Wayne Morris 12 yard rush (Jim Bakken kick),31,49
