,Quarter,Tm,Detail,MIA,NWE
0,1.0,Patriots,Mack Herron 14 yard rush (John Smith kick),0,7
1,2.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),7,7
2,2.0,Patriots,Reggie Rucker 13 yard pass from Jim Plunkett (John Smith kick),7,14
3,2.0,Patriots,John Smith 21 yard field goal,7,17
4,2.0,Patriots,Jim Plunkett 5 yard rush (John Smith kick),7,24
5,2.0,Dolphins,Garo Yepremian 33 yard field goal,10,24
6,3.0,Patriots,Sam Cunningham 13 yard rush (John Smith kick),10,31
7,3.0,Dolphins,Marlin Briscoe 13 yard pass from Bob Griese (Garo Yepremian kick),17,31
8,4.0,Dolphins,Larry Csonka 3 yard rush (Garo Yepremian kick),24,31
9,4.0,Patriots,John Smith 26 yard field goal,24,34
