,Quarter,Tm,Detail,STL,PHI
0,3.0,Eagles,Wilbert Montgomery 9 yard rush (Tony Franklin kick),0,7
1,4.0,Eagles,Tony Franklin 19 yard field goal,0,10
2,4.0,Cardinals,Neil O'Donoghue 25 yard field goal,3,10
3,4.0,Eagles,Louie Giammona 1 yard rush (Tony Franklin kick),3,17
