,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,10:14,Lions,Tim Wright 9 yard pass from Matthew Stafford (Matt Prater kick),7,0
1,2.0,0:00,Lions,Matt Prater 59 yard field goal,10,0
2,3.0,9:03,Bears,Robbie Gould 49 yard field goal,10,3
3,3.0,5:28,Bears,Josh Bellamy 34 yard pass from Jay Cutler (Robbie Gould kick),10,10
4,3.0,1:07,Lions,Calvin Johnson 36 yard pass from Matthew Stafford (Matt Prater kick),17,10
5,4.0,13:20,Bears,Matt Forte 23 yard pass from Jay Cutler (Robbie Gould kick),17,17
6,4.0,8:46,Lions,Eric Ebron 1 yard pass from Matthew Stafford (Matt Prater kick),24,17
7,4.0,5:39,Bears,Robbie Gould 34 yard field goal,24,20
