,Quarter,Time,Tm,Detail,STL,CAR
0,1.0,12:49,Panthers,Isaac Byrd 27 yard pass from Chris Weinke (John Kasay kick),0,7
1,1.0,2:08,Rams,Ricky Proehl 6 yard pass from Kurt Warner (Jeff Wilkins kick),7,7
2,2.0,4:20,Panthers,John Kasay 22 yard field goal,7,10
3,2.0,2:06,Rams,Marshall Faulk 4 yard rush (Jeff Wilkins kick),14,10
4,2.0,0:41,Rams,Dexter McCleon 29 yard fumble return (Jeff Wilkins kick),21,10
5,2.0,0:00,Panthers,John Kasay 29 yard field goal,21,13
6,3.0,12:28,Panthers,John Kasay 30 yard field goal,21,16
7,3.0,7:24,Rams,Jeff Wilkins 33 yard field goal,24,16
8,3.0,3:21,Rams,Marshall Faulk 70 yard rush (Jeff Wilkins kick),31,16
9,3.0,0:05,Panthers,Richard Huntley 4 yard rush (John Kasay kick),31,23
10,4.0,8:44,Rams,Ernie Conwell 4 yard pass from Kurt Warner (Jeff Wilkins kick),38,23
11,4.0,4:56,Panthers,Casey Crawford offensive fumble recovery in end zone (pass failed),38,29
12,4.0,0:27,Panthers,John Kasay 46 yard field goal,38,32
