,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Dub Jones 64 yard pass from Otto Graham (Lou Groza kick),0,7
1,1.0,Giants,Tom Landry 20 yard interception return (Ray Poole kick),7,7
2,1.0,Browns,Dante Lavelli 26 yard pass from Otto Graham (Lou Groza kick),7,14
3,2.0,Giants,Bob McChesney 29 yard pass from Charlie Conerly,13,14
