,Quarter,Time,Tm,Detail,NYG,SEA
0,1.0,,Seahawks,Brian Blades 33 yard pass from Rick Mirer (Todd Peterson kick),0,7
1,1.0,,Giants,Brad Daluiso 23 yard field goal,3,7
2,1.0,,Seahawks,Brian Blades 44 yard pass from Rick Mirer (Todd Peterson kick),3,14
3,1.0,,Seahawks,Joey Galloway 89 yard punt return (Todd Peterson kick),3,21
4,2.0,,Giants,Herschel Walker 8 yard pass from Dave Brown (Brad Daluiso kick),10,21
5,2.0,,Giants,Mike Sherrard 28 yard pass from Dave Brown (run failed),16,21
6,2.0,,Giants,Rodney Hampton 1 yard rush (pass failed),22,21
7,3.0,,Seahawks,Todd Peterson 23 yard field goal,22,24
8,4.0,,Seahawks,Todd Peterson 41 yard field goal,22,27
9,4.0,,Giants,Rodney Hampton 1 yard rush (pass failed),28,27
10,4.0,,Seahawks,Todd Peterson 32 yard field goal,28,30
