,Quarter,Tm,Detail,DET,NYY
0,1.0,Yanks,George Taliaferro 22 yard pass from George Ratterman (Chet Adams kick),0,7
1,1.0,Lions,Bob Smith 35 yard interception return (Doak Walker kick),7,7
2,2.0,Yanks,Sherman Howard 36 yard pass from George Ratterman (Chet Adams kick),7,14
3,2.0,Yanks,Sherman Howard 31 yard pass from George Ratterman (Chet Adams kick),7,21
4,3.0,Yanks,"Safety, Layne tackled in end zone by Iverson",7,23
5,3.0,Yanks,Jack Russell 6 yard pass from George Ratterman (Chet Adams kick),7,30
6,4.0,Lions,Doak Walker 1 yard rush (Doak Walker kick),14,30
7,4.0,Yanks,Sherman Howard 89 yard kickoff return (Chet Adams kick),14,37
8,4.0,Yanks,George Taliaferro 5 yard rush (Chet Adams kick),14,44
9,4.0,Lions,Lindy Pearson 2 yard rush (Doak Walker kick),21,44
