,Quarter,Tm,Detail,PHI,NYG
0,1.0,Giants,Neal Adams 34 yard blocked punt return (Ward Cuff kick),0,7
1,1.0,Giants,Will Walls 31 yard pass from Emery Nix (Ward Cuff kick),0,14
2,2.0,Giants,Bill Paschal 4 yard rush (Ward Cuff kick),0,21
3,2.0,Giants,Frank Liebel 6 yard pass from Tuffy Leemans (Ward Cuff kick),0,28
4,3.0,Giants,Al Blozis 35 yard blocked punt return (Ward Cuff kick),0,35
5,3.0,Giants,Bill Paschal 1 yard rush (Ward Cuff kick),0,42
6,4.0,Eagles/Steelers,Ben Kish 4 yard pass from Allie Sherman (Ted Laux kick),7,42
7,4.0,Eagles/Steelers,Al Wukits 2 yard fumble return (Ted Laux kick),14,42
