,Quarter,Time,Tm,Detail,IND,CHI
0,1.0,5:21,Bears,Curtis Enis 11 yard rush (Paul Edinger kick),0,7
1,1.0,0:02,Bears,Paul Edinger 41 yard field goal,0,10
2,2.0,4:12,Bears,Marcus Robinson 34 yard pass from Jim Miller (Paul Edinger kick),0,17
3,2.0,0:00,Bears,Paul Edinger 37 yard field goal,0,20
4,3.0,13:42,Bears,Walt Harris 35 yard interception return (Paul Edinger kick),0,27
5,3.0,6:00,Colts,Edgerrin James 1 yard rush (Marcus Pollard pass from Peyton Manning),8,27
6,4.0,10:33,Colts,Mike Vanderjagt 19 yard field goal,11,27
7,4.0,6:39,Colts,Edgerrin James 21 yard pass from Peyton Manning (run failed),17,27
8,4.0,1:36,Colts,Jerome Pathon 19 yard pass from Peyton Manning (Mike Vanderjagt kick),24,27
