,Quarter,Tm,Detail,PIT,GNB
0,1,Packers,Cecil Isbell 38 yard rush (Clarke Hinkle kick),0,7
1,3,Packers,Joe Laws 38 yard interception return,0,13
2,4,Packers,Carl Mulleneaux 19 yard pass from Bob Monnett (Bob Monnett kick),0,20
