,Quarter,Tm,Detail,NYJ,CLE
0,2.0,Jets,Roger Vick 39 yard rush (Pat Leahy kick),7,0
1,2.0,Browns,Webster Slaughter 35 yard pass from Bernie Kosar (Matt Bahr kick),7,7
2,2.0,Browns,Thane Gash 36 yard interception return (Matt Bahr kick),7,14
3,3.0,Jets,Jo-Jo Townsell 49 yard pass from Ken O'Brien (Pat Leahy kick),14,14
4,3.0,Browns,Tim Manoa 6 yard pass from Bernie Kosar (Matt Bahr kick),14,21
5,3.0,Jets,Pat Leahy 36 yard field goal,17,21
6,3.0,Browns,Keith Jones 9 yard rush (Matt Bahr kick),17,28
7,4.0,Jets,Freeman McNeil 1 yard rush (Pat Leahy kick),24,28
8,4.0,Browns,Ozzie Newsome 4 yard pass from Bernie Kosar (Matt Bahr kick),24,35
9,4.0,Browns,Matt Bahr 21 yard field goal,24,38
