,Quarter,Time,Tm,Detail,JAX,STL
0,1.0,12:47,Rams,Brandon Chillar 29 yard blocked punt return (Jeff Wilkins kick),0,7
1,1.0,12:24,Jaguars,Fred Taylor 71 yard rush (Josh Scobee kick),7,7
2,1.0,10:54,Rams,Kevin Curtis 83 yard pass from Jamie Martin (Jeff Wilkins kick),7,14
3,2.0,2:16,Jaguars,Ernest Wilford 20 yard pass from Byron Leftwich (Josh Scobee kick),14,14
4,2.0,0:00,Rams,Jeff Wilkins 41 yard field goal,14,17
5,3.0,5:07,Jaguars,Matt Jones 15 yard pass from Byron Leftwich (Josh Scobee kick),21,17
6,4.0,12:45,Rams,Steven Jackson 19 yard pass from Jamie Martin (Jeff Wilkins kick),21,24
