,Quarter,Tm,Detail,NYG,PHO
0,2.0,Cardinals,"Safety, Swann tackled Brown in end zone",0,2
1,2.0,Cardinals,Johnny Johnson 5 yard rush (Greg Davis kick),0,9
2,3.0,Cardinals,Greg Davis 26 yard field goal,0,12
3,4.0,Cardinals,Johnny Johnson 42 yard rush (Greg Davis kick),0,19
