,Quarter,Tm,Detail,NOR,DET
0,1.0,Lions,Altie Taylor 13 yard pass from Greg Landry (Errol Mann kick),0,7
1,2.0,Lions,Larry Walton 14 yard pass from Greg Landry (Errol Mann kick),0,14
2,3.0,Lions,Errol Mann 35 yard field goal,0,17
3,4.0,Lions,Errol Mann 33 yard field goal,0,20
4,4.0,Saints,Danny Abramowicz 13 yard pass from Archie Manning (Happy Feller kick),7,20
5,4.0,Lions,Mel Farr 1 yard rush (Errol Mann kick),7,27
6,4.0,Saints,Danny Abramowicz 48 yard pass from Archie Manning (Happy Feller kick),14,27
