,Quarter,Tm,Detail,KAN,HOU
0,1.0,Chiefs,Wendell Hayes 1 yard rush (Jan Stenerud kick),7,0
1,1.0,Chiefs,Jan Stenerud 43 yard field goal,10,0
2,2.0,Oilers,Ken Houston 68 yard defensive fumble return (Braden Beck kick),10,7
3,2.0,Chiefs,Jan Stenerud 11 yard field goal,13,7
4,3.0,Oilers,Braden Beck 15 yard field goal,13,10
5,4.0,Oilers,Charlie Joiner 12 yard pass from Dan Pastorini,13,16
6,4.0,Chiefs,Warren McVea 4 yard rush (Jan Stenerud kick),20,16
