,Quarter,Tm,Detail,DET,CIN
0,1.0,Lions,Barry Sanders 2 yard rush (Eddie Murray kick),7,0
1,2.0,Bengals,Tim McGee 17 yard pass from Boomer Esiason (Jim Breech kick),7,7
2,2.0,Bengals,Craig Taylor 3 yard rush (Jim Breech kick),7,14
3,2.0,Bengals,Craig Taylor 1 yard pass from Boomer Esiason (Jim Breech kick),7,21
4,2.0,Bengals,Barney Bussey special teams fumble recovery in end zone (Jim Breech kick),7,28
5,3.0,Bengals,Mike Martin 15 yard pass from Boomer Esiason (Jim Breech kick),7,35
6,4.0,Bengals,Kendal Smith 41 yard pass from Erik Wilhelm (Jim Breech kick),7,42
