,Quarter,Tm,Detail,PHO,RAM
0,1.0,Cardinals,Greg Davis 21 yard field goal,3,0
1,2.0,Rams,Henry Ellard 33 yard pass from Jim Everett (Tony Zendejas kick),3,7
2,3.0,Cardinals,Greg Davis 31 yard field goal,6,7
3,3.0,Cardinals,Johnny Johnson 6 yard rush (Greg Davis kick),13,7
4,4.0,Rams,Cleveland Gary 1 yard rush (Tony Zendejas kick),13,14
5,4.0,Cardinals,Johnny Johnson 10 yard rush (Greg Davis kick),20,14
