,Quarter,Tm,Detail,TAM,OAK
0,1.0,Raiders,Mark van Eeghen 1 yard rush (Errol Mann kick),0,7
1,1.0,Buccaneers,Ed Williams 2 yard rush (Dave Green kick),7,7
2,2.0,Raiders,Mark van Eeghen 1 yard rush (Errol Mann kick),7,14
3,2.0,Raiders,Pete Banaszak 2 yard rush (Errol Mann kick),7,21
4,2.0,Buccaneers,Dave Green 30 yard field goal,10,21
5,3.0,Raiders,Warren Bankston 9 yard pass from Ken Stabler (Errol Mann kick),10,28
6,3.0,Raiders,Cliff Branch 25 yard pass from Ken Stabler (Errol Mann kick),10,35
7,3.0,Raiders,Carl Garrett 1 yard rush (Errol Mann kick),10,42
8,4.0,Buccaneers,Morris Owens 9 yard pass from Steve Spurrier,16,42
9,4.0,Raiders,Mike Siani 37 yard pass from Mike Rae (Errol Mann kick),16,49
