,Quarter,Time,Tm,Detail,NOR,NYG
0,1.0,12:43,Giants,Plaxico Burress 55 yard pass from Eli Manning (Jay Feely kick),0,7
1,1.0,9:23,Saints,John Carney 32 yard field goal,3,7
2,2.0,13:01,Saints,John Carney 26 yard field goal,6,7
3,2.0,1:51,Saints,Marques Colston 2 yard pass from Drew Brees (John Carney kick),13,7
4,3.0,7:55,Saints,Reggie Bush 1 yard rush (John Carney kick),20,7
5,4.0,14:06,Saints,Deuce McAllister 9 yard rush (John Carney kick),27,7
6,4.0,11:52,Saints,John Carney 38 yard field goal,30,7
