,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Jerome Barkum 17 yard pass from Richard Todd (Pat Leahy kick),0,7
1,2.0,Patriots,Mosi Tatupu 2 yard rush (John Smith kick),7,7
2,2.0,Jets,Jerome Barkum 5 yard pass from Richard Todd (Pat Leahy kick),7,14
3,2.0,Jets,Wesley Walker 29 yard pass from Richard Todd (Pat Leahy kick),7,21
4,2.0,Patriots,Tony Collins 9 yard rush (John Smith kick),14,21
5,3.0,Jets,Darrol Ray 43 yard interception return (Pat Leahy kick),14,28
6,3.0,Patriots,Don Hasselbeck 11 yard pass from Steve Grogan (John Smith kick),21,28
7,4.0,Patriots,John Smith 22 yard field goal,24,28
