,Quarter,Time,Tm,Detail,NWE,TAM
0,1.0,1:21,Patriots,Stephen Gostkowski 27 yard field goal,3,0
1,2.0,8:26,Buccaneers,Doug Martin 1 yard rush (Nick Folk kick),3,7
2,2.0,3:42,Patriots,Chris Hogan 5 yard pass from Tom Brady (Stephen Gostkowski kick),10,7
3,2.0,0:40,Patriots,Stephen Gostkowski 23 yard field goal,13,7
4,3.0,9:55,Patriots,Stephen Gostkowski 45 yard field goal,16,7
5,4.0,2:09,Buccaneers,Cameron Brate 18 yard pass from Jameis Winston (Nick Folk kick),16,14
6,4.0,1:10,Patriots,Stephen Gostkowski 48 yard field goal,19,14
