,Quarter,Tm,Detail,SDG,MIA
0,1.0,Chargers,Quinn Early 15 yard pass from Mark Malone (Vince Abbott kick),7,0
1,1.0,Dolphins,Mark Duper 6 yard pass from Dan Marino (Fuad Reveiz kick),7,7
2,2.0,Dolphins,Fuad Reveiz 22 yard field goal,7,10
3,2.0,Chargers,Mark Malone 1 yard rush (Vince Abbott kick),14,10
4,2.0,Chargers,Darren Flutie 21 yard pass from Mark Malone (Vince Abbott kick),21,10
5,3.0,Dolphins,Lorenzo Hampton 2 yard rush (Fuad Reveiz kick),21,17
6,3.0,Chargers,Curtis Adams 1 yard rush (Vince Abbott kick),28,17
7,4.0,Dolphins,Lorenzo Hampton 1 yard rush (Fuad Reveiz kick),28,24
8,4.0,Dolphins,Troy Stradford 3 yard rush (Fuad Reveiz kick),28,31
